time,symbol,side,long,short,confidence,price
2026-08-25T23:49:58.641950+00:00,ETH,WAIT,14,35,35,389179.0
2026-08-25T23:49:58.641956+00:00,XRP,WAIT,14,52,52,228.249
2026-08-25T23:49:58.641962+00:00,SOL,WAIT,32,40,40,15385.0
2026-08-25T23:55:38.279778+00:00,BTC,WAIT,32,30,32,12512176.0
2026-08-25T23:55:38.279800+00:00,ETH,WAIT,14,35,35,389179.0
2026-08-25T23:55:38.279806+00:00,XRP,WAIT,14,52,52,228.249
2026-08-25T23:55:38.279812+00:00,SOL,WAIT,32,40,40,15385.0
2026-08-26T00:01:18.661821+00:00,BTC,WAIT,14,31,31,12495280.0
2026-08-26T00:01:18.661843+00:00,ETH,WAIT,14,26,26,389035.0
2026-08-26T00:01:18.661849+00:00,XRP,WAIT,19,70,70,228.276
2026-08-26T00:01:18.661855+00:00,SOL,WAIT,14,37,37,15383.0
2026-08-26T00:07:04.452118+00:00,BTC,WAIT,14,31,31,12495280.0
2026-08-26T00:07:04.452140+00:00,ETH,WAIT,14,26,26,389035.0
2026-08-26T00:07:04.452145+00:00,XRP,WAIT,19,70,70,228.276
2026-08-26T00:07:04.452151+00:00,SOL,WAIT,14,37,37,15383.0
2026-08-26T00:09:04.591122+00:00,BTC,WAIT,14,31,31,12495280.0
2026-08-26T00:09:04.591139+00:00,ETH,WAIT,14,26,26,389035.0
2026-08-26T00:09:04.591144+00:00,XRP,WAIT,19,70,70,228.276
2026-08-26T00:09:04.591150+00:00,SOL,WAIT,14,37,37,15383.0
2026-08-26T00:15:14.544254+00:00,BTC,WAIT,14,31,31,12495280.0
2026-08-26T00:15:14.544275+00:00,ETH,WAIT,14,26,26,389035.0
2026-08-26T00:15:14.544280+00:00,XRP,WAIT,19,70,70,228.276
2026-08-26T00:15:14.544286+00:00,SOL,WAIT,14,37,37,15383.0
2026-08-26T00:21:26.456613+00:00,BTC,WAIT,14,26,26,12477981.0
2026-08-26T00:21:26.456633+00:00,ETH,WAIT,14,38,38,387991.0
2026-08-26T00:21:26.456638+00:00,XRP,WAIT,14,70,70,226.747
2026-08-26T00:21:26.456644+00:00,SOL,WAIT,14,30,30,15323.0
2026-08-26T00:27:31.586843+00:00,BTC,WAIT,14,26,26,12477981.0
2026-08-26T00:27:31.586863+00:00,ETH,WAIT,14,38,38,387991.0
2026-08-26T00:27:31.586868+00:00,XRP,WAIT,14,70,70,226.747
2026-08-26T00:27:31.586874+00:00,SOL,WAIT,14,30,30,15323.0
2026-08-26T00:33:32.171615+00:00,BTC,WAIT,26,26,26,12512463.0
2026-08-26T00:33:32.171633+00:00,ETH,WAIT,26,26,26,389131.0
2026-08-26T00:33:32.171639+00:00,XRP,WAIT,14,56,56,228.373
2026-08-26T00:33:32.171645+00:00,SOL,WAIT,26,18,26,15358.0
2026-08-26T00:39:57.534490+00:00,BTC,WAIT,26,26,26,12512463.0
2026-08-26T00:39:57.534506+00:00,ETH,WAIT,26,26,26,389131.0
2026-08-26T00:39:57.534511+00:00,XRP,WAIT,14,56,56,228.373
2026-08-26T00:39:57.534516+00:00,SOL,WAIT,26,18,26,15358.0
2026-08-26T00:46:05.539850+00:00,BTC,WAIT,26,26,26,12512463.0
2026-08-26T00:46:05.539868+00:00,ETH,WAIT,26,26,26,389131.0
2026-08-26T00:46:05.539872+00:00,XRP,WAIT,14,56,56,227.502
2026-08-26T00:46:05.539877+00:00,SOL,WAIT,45,18,45,15378.0
2026-08-26T00:52:10.921891+00:00,BTC,WAIT,14,26,26,12488278.0
2026-08-26T00:52:10.921907+00:00,ETH,WAIT,14,43,43,388416.0
2026-08-26T00:52:10.921912+00:00,XRP,WAIT,14,56,56,227.502
